cuda:0
Training from scratch
Training dataset loaded: Number of batches: 1563, Number of images: 50000
Steps: 1/156300 	 loss (ema): 1.000 	 Time elapsed: 0.000 hr
Steps: 101/156300 	 loss (ema): 0.284 	 Time elapsed: 0.007 hr
Steps: 201/156300 	 loss (ema): 0.102 	 Time elapsed: 0.013 hr
Steps: 301/156300 	 loss (ema): 0.089 	 Time elapsed: 0.020 hr
Steps: 401/156300 	 loss (ema): 0.077 	 Time elapsed: 0.027 hr
Steps: 501/156300 	 loss (ema): 0.068 	 Time elapsed: 0.033 hr
Steps: 601/156300 	 loss (ema): 0.059 	 Time elapsed: 0.040 hr
Steps: 701/156300 	 loss (ema): 0.067 	 Time elapsed: 0.047 hr
Steps: 801/156300 	 loss (ema): 0.063 	 Time elapsed: 0.053 hr
Steps: 901/156300 	 loss (ema): 0.066 	 Time elapsed: 0.060 hr
Steps: 1001/156300 	 loss (ema): 0.064 	 Time elapsed: 0.067 hr
Steps: 1101/156300 	 loss (ema): 0.055 	 Time elapsed: 0.073 hr
Steps: 1201/156300 	 loss (ema): 0.055 	 Time elapsed: 0.080 hr
Steps: 1301/156300 	 loss (ema): 0.064 	 Time elapsed: 0.087 hr
Steps: 1401/156300 	 loss (ema): 0.061 	 Time elapsed: 0.093 hr
Steps: 1501/156300 	 loss (ema): 0.076 	 Time elapsed: 0.100 hr
Epoch 0 completed
Steps: 1564/156300 	 loss (ema): 0.064 	 Time elapsed: 0.104 hr
Steps: 1664/156300 	 loss (ema): 0.063 	 Time elapsed: 0.111 hr
Steps: 1764/156300 	 loss (ema): 0.060 	 Time elapsed: 0.118 hr
Steps: 1864/156300 	 loss (ema): 0.064 	 Time elapsed: 0.124 hr
Steps: 1964/156300 	 loss (ema): 0.067 	 Time elapsed: 0.131 hr
Steps: 2064/156300 	 loss (ema): 0.068 	 Time elapsed: 0.138 hr
Steps: 2164/156300 	 loss (ema): 0.057 	 Time elapsed: 0.144 hr
Steps: 2264/156300 	 loss (ema): 0.053 	 Time elapsed: 0.151 hr
Steps: 2364/156300 	 loss (ema): 0.065 	 Time elapsed: 0.158 hr
Steps: 2464/156300 	 loss (ema): 0.057 	 Time elapsed: 0.164 hr
Steps: 2564/156300 	 loss (ema): 0.064 	 Time elapsed: 0.171 hr
Steps: 2664/156300 	 loss (ema): 0.052 	 Time elapsed: 0.178 hr
Steps: 2764/156300 	 loss (ema): 0.062 	 Time elapsed: 0.184 hr
Steps: 2864/156300 	 loss (ema): 0.054 	 Time elapsed: 0.191 hr
Steps: 2964/156300 	 loss (ema): 0.069 	 Time elapsed: 0.198 hr
Steps: 3064/156300 	 loss (ema): 0.061 	 Time elapsed: 0.204 hr
Steps: 3127/156300 	 loss (ema): 0.062 	 Time elapsed: 0.209 hr
Steps: 3227/156300 	 loss (ema): 0.048 	 Time elapsed: 0.215 hr
Steps: 3327/156300 	 loss (ema): 0.059 	 Time elapsed: 0.222 hr
Steps: 3427/156300 	 loss (ema): 0.056 	 Time elapsed: 0.229 hr
Steps: 3527/156300 	 loss (ema): 0.059 	 Time elapsed: 0.235 hr
Steps: 3627/156300 	 loss (ema): 0.053 	 Time elapsed: 0.242 hr
Steps: 3727/156300 	 loss (ema): 0.070 	 Time elapsed: 0.249 hr
Steps: 3827/156300 	 loss (ema): 0.068 	 Time elapsed: 0.255 hr
Steps: 3927/156300 	 loss (ema): 0.056 	 Time elapsed: 0.262 hr
Steps: 4027/156300 	 loss (ema): 0.059 	 Time elapsed: 0.269 hr
Steps: 4127/156300 	 loss (ema): 0.064 	 Time elapsed: 0.276 hr
Steps: 4227/156300 	 loss (ema): 0.052 	 Time elapsed: 0.282 hr
Steps: 4327/156300 	 loss (ema): 0.051 	 Time elapsed: 0.289 hr
Steps: 4427/156300 	 loss (ema): 0.064 	 Time elapsed: 0.296 hr
Steps: 4527/156300 	 loss (ema): 0.053 	 Time elapsed: 0.302 hr
Steps: 4627/156300 	 loss (ema): 0.063 	 Time elapsed: 0.309 hr
Steps: 4690/156300 	 loss (ema): 0.071 	 Time elapsed: 0.313 hr
Steps: 4790/156300 	 loss (ema): 0.057 	 Time elapsed: 0.320 hr
Steps: 4890/156300 	 loss (ema): 0.054 	 Time elapsed: 0.327 hr
Steps: 4990/156300 	 loss (ema): 0.055 	 Time elapsed: 0.333 hr
Steps: 5090/156300 	 loss (ema): 0.065 	 Time elapsed: 0.340 hr
Steps: 5190/156300 	 loss (ema): 0.057 	 Time elapsed: 0.347 hr
Steps: 5290/156300 	 loss (ema): 0.056 	 Time elapsed: 0.353 hr
Steps: 5390/156300 	 loss (ema): 0.061 	 Time elapsed: 0.360 hr
Steps: 5490/156300 	 loss (ema): 0.058 	 Time elapsed: 0.367 hr
Steps: 5590/156300 	 loss (ema): 0.060 	 Time elapsed: 0.373 hr
Steps: 5690/156300 	 loss (ema): 0.066 	 Time elapsed: 0.380 hr
Steps: 5790/156300 	 loss (ema): 0.063 	 Time elapsed: 0.387 hr
Steps: 5890/156300 	 loss (ema): 0.051 	 Time elapsed: 0.393 hr
Steps: 5990/156300 	 loss (ema): 0.057 	 Time elapsed: 0.400 hr
Steps: 6090/156300 	 loss (ema): 0.061 	 Time elapsed: 0.406 hr
Steps: 6190/156300 	 loss (ema): 0.057 	 Time elapsed: 0.413 hr
Steps: 6253/156300 	 loss (ema): 0.054 	 Time elapsed: 0.417 hr
